,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture)
0,410.87,0.0,0.0,213.83,0.0,951.15,803.78
1,243.66,123.07,0.0,206.93,0.0,1025.62,742.74
2,175.97,175.51,0.0,162.23,0.0,1095.57,784.37
3,315.37,0.0,91.47,233.3,0.0,951.67,766.44
4,229.94,190.85,0.0,259.36,0.0,870.83,655.85
5,326.57,0.0,82.98,193.22,0.0,932.33,931.78
6,278.07,0.0,79.2,163.84,0.0,943.74,814.47
7,317.79,0.0,79.66,225.57,0.0,1018.29,751.47
8,434.3,0.0,0.0,218.46,0.0,839.9,711.42
9,280.46,0.0,98.28,222.76,0.0,1029.31,851.8
10,293.54,0.0,114.26,252.5,0.0,971.06,793.91
11,212.53,176.47,0.0,134.62,7.37,982.13,882.18
12,221.98,153.93,0.0,237.74,0.0,827.28,778.4
13,305.03,0.0,0.0,112.36,5.81,1084.11,937.29
14,441.26,0.0,0.0,242.13,0.0,925.47,855.11
15,219.73,214.16,0.0,218.23,0.0,829.58,793.34
16,403.07,0.0,0.0,272.81,0.0,888.3,726.55
17,431.5,0.0,0.0,296.02,0.0,931.49,750.38
18,352.61,0.0,0.0,205.94,0.0,977.97,885.56
19,282.69,159.28,0.0,208.22,0.0,986.56,769.81
20,248.44,185.78,0.0,154.15,6.9,999.01,763.43
21,307.44,0.0,0.0,149.51,0.0,1184.71,842.25
22,260.31,159.36,0.0,188.04,0.0,1049.45,757.88
23,375.71,0.0,0.0,167.93,0.0,957.03,923.46
24,368.8,0.0,0.0,170.51,0.0,1015.86,943.32
25,181.12,131.69,0.0,96.21,7.75,1007.36,805.74
26,294.04,0.0,117.1,133.25,5.9,1094.13,859.86
27,188.8,176.28,0.0,159.18,0.0,1059.71,729.58
28,218.51,120.83,0.0,203.13,0.0,991.1,733.65
29,241.86,121.07,0.0,147.24,0.0,929.91,809.86
30,443.09,0.0,0.0,153.3,7.11,866.58,844.46
31,308.15,0.0,0.0,197.21,0.0,975.24,810.13
32,260.6,0.0,109.76,184.99,0.0,1008.2,770.0
33,274.24,133.74,0.0,200.71,0.0,1074.59,796.71
34,376.97,0.0,0.0,227.02,0.0,955.14,647.59
35,296.77,142.47,0.0,162.42,8.32,820.31,798.33
36,353.97,0.0,0.0,186.64,0.0,948.18,740.14
37,342.64,0.0,0.0,205.16,0.0,1006.62,692.86
38,344.59,0.0,88.75,230.74,0.0,920.88,747.68
39,280.26,0.0,119.4,140.49,8.96,945.33,814.44
40,413.32,0.0,0.0,226.98,0.0,857.83,770.12
41,217.78,209.81,0.0,132.25,5.85,1021.99,717.69
42,426.49,0.0,0.0,223.71,0.0,881.94,762.59
43,218.8,97.37,0.0,145.12,0.0,985.47,896.16
44,239.82,0.0,97.5,107.42,5.88,1098.48,893.12
45,279.42,0.0,109.43,182.73,0.0,936.16,844.12
46,217.36,136.41,0.0,165.85,0.0,929.87,803.23
47,382.96,0.0,0.0,196.92,0.0,1094.4,746.66
48,209.48,149.67,0.0,150.35,0.0,902.31,880.87
49,364.92,0.0,0.0,243.25,0.0,874.76,869.47
50,265.73,0.0,112.72,161.4,0.0,1080.02,776.55
51,187.14,150.68,0.0,159.45,0.0,904.01,873.83
52,433.25,0.0,0.0,210.81,0.0,1006.98,672.53
53,278.34,142.42,0.0,284.88,0.0,1004.64,703.65
54,336.27,0.0,0.0,137.04,0.0,1069.43,876.12
55,326.83,0.0,91.53,126.14,7.04,1040.25,779.97
56,243.32,0.0,79.66,200.44,0.0,1091.76,732.1
57,399.99,0.0,0.0,205.1,0.0,956.02,837.65
58,349.92,0.0,94.07,269.43,0.0,795.85,785.45
59,428.1,0.0,0.0,296.01,0.0,842.62,802.59
60,382.56,0.0,0.0,136.24,5.29,1049.01,761.61
61,441.61,0.0,0.0,280.18,0.0,934.82,692.34
62,240.61,186.45,0.0,133.82,7.79,909.04,891.26
63,328.29,0.0,0.0,185.87,0.0,892.06,813.02
64,432.61,0.0,0.0,229.03,0.0,932.31,798.66
65,401.68,0.0,0.0,173.43,0.0,919.02,830.62
66,305.82,0.0,0.0,187.57,0.0,1133.94,757.37
67,247.43,174.55,0.0,202.52,0.0,921.03,748.06
68,273.58,133.38,0.0,193.18,0.0,1065.85,790.2
69,278.59,170.37,0.0,172.66,5.97,983.16,682.88
70,423.9,0.0,0.0,245.34,0.0,1041.33,778.61
71,221.46,207.94,0.0,177.47,0.0,828.14,794.97
72,379.02,0.0,0.0,180.56,0.0,899.96,818.37
73,260.82,0.0,99.86,145.72,0.0,1180.12,792.48
74,329.83,0.0,96.08,205.7,0.0,973.58,723.76
75,242.88,130.2,0.0,206.55,0.0,892.34,816.39
76,253.22,152.75,0.0,282.63,0.0,977.36,796.86
77,373.22,0.0,0.0,190.07,0.0,965.5,756.44
78,320.22,0.0,107.46,248.59,0.0,1049.03,715.86
79,200.08,190.06,0.0,266.84,0.0,1007.23,713.14
80,241.83,176.1,0.0,252.64,0.0,900.26,656.89
81,315.84,0.0,81.03,214.69,0.0,1033.76,702.44
82,428.37,0.0,0.0,183.65,0.0,973.62,882.55
83,258.63,0.0,90.24,232.43,0.0,1059.06,827.1
84,361.79,0.0,0.0,134.28,9.33,1007.46,812.61
85,322.95,0.0,0.0,184.85,0.0,941.94,783.46
86,261.02,123.55,0.0,203.41,0.0,870.71,783.63
87,355.31,0.0,0.0,222.94,0.0,833.96,807.28
88,361.87,0.0,0.0,138.97,9.03,1056.4,918.63
89,375.94,0.0,0.0,235.4,0.0,954.22,748.38
90,322.17,0.0,92.43,185.98,0.0,934.28,880.99
91,403.34,0.0,0.0,186.43,0.0,993.54,818.73
92,375.2,0.0,0.0,158.41,0.0,1013.55,778.93
93,335.74,0.0,93.02,265.46,0.0,1006.37,746.47
94,375.56,0.0,0.0,214.41,0.0,1059.63,847.69
95,416.98,0.0,0.0,182.75,0.0,866.76,748.16
96,211.84,166.77,0.0,173.4,0.0,1065.03,775.8
97,375.58,0.0,0.0,157.38,0.0,1004.84,671.79
98,337.91,0.0,94.71,130.25,9.08,898.62,770.36
99,277.93,0.0,111.63,180.57,0.0,1054.13,762.72
100,244.31,0.0,74.78,172.73,0.0,1041.57,801.75
101,258.7,175.2,0.0,303.54,0.0,960.73,642.42
102,314.02,0.0,0.0,146.78,0.0,949.07,821.27
103,272.29,0.0,98.63,171.16,0.0,1014.2,939.63
104,225.18,202.09,0.0,143.16,5.58,1008.96,698.23
105,401.27,0.0,0.0,171.55,0.0,973.94,660.49
106,361.09,0.0,0.0,195.85,0.0,903.91,741.82
107,438.66,0.0,0.0,251.2,0.0,929.99,724.99
108,249.32,156.46,0.0,254.76,0.0,1024.84,728.7
109,429.15,0.0,0.0,205.87,0.0,925.61,887.79
110,388.98,0.0,0.0,207.65,0.0,933.9,705.24
111,306.97,0.0,129.16,260.76,0.0,875.37,637.56
112,357.71,0.0,0.0,142.17,9.21,1060.47,716.05
113,311.88,0.0,0.0,163.22,0.0,1065.05,887.88
114,271.45,158.77,0.0,289.24,0.0,999.28,670.75
115,357.74,0.0,0.0,217.79,0.0,1018.72,749.73
116,437.22,0.0,0.0,255.58,0.0,867.25,796.73
117,276.99,167.33,0.0,197.77,0.0,1091.84,744.01
118,316.23,0.0,0.0,115.01,5.7,1040.52,777.06
119,301.48,0.0,0.0,122.49,0.0,985.91,882.75
120,255.73,147.38,0.0,198.32,0.0,974.24,732.31
121,370.72,0.0,0.0,157.75,0.0,976.75,868.59
122,246.57,196.61,0.0,246.04,0.0,968.21,749.99
123,356.38,0.0,0.0,142.69,0.0,1142.46,793.92
124,412.07,0.0,0.0,133.71,8.17,890.49,774.73
125,248.46,158.66,0.0,242.31,0.0,858.43,785.6
126,421.56,0.0,0.0,147.61,9.29,1016.67,877.36
127,401.64,0.0,0.0,267.09,0.0,856.75,843.9
128,252.41,139.24,0.0,254.82,0.0,834.23,812.92
129,439.12,0.0,0.0,206.56,0.0,880.42,678.13
130,235.6,0.0,91.01,224.1,0.0,968.37,832.21
131,229.72,210.06,0.0,226.19,0.0,872.5,846.98
132,344.03,0.0,0.0,135.93,5.15,1044.92,815.33
133,385.18,0.0,0.0,171.49,0.0,984.93,676.82
134,176.37,141.71,0.0,208.86,0.0,997.4,863.82
135,395.08,0.0,0.0,201.68,0.0,1002.04,875.21
136,199.85,168.16,0.0,179.47,0.0,998.29,885.6
137,329.18,0.0,83.14,151.57,6.33,894.27,889.73
138,401.79,0.0,0.0,272.65,0.0,892.48,888.79
139,222.56,177.6,0.0,195.44,0.0,900.52,747.52
140,191.24,180.07,0.0,240.66,0.0,991.22,716.04
141,277.99,0.0,112.35,129.19,8.35,1078.54,843.88
142,345.66,0.0,99.98,157.62,6.38,1070.82,795.89
143,383.19,0.0,0.0,234.26,0.0,872.7,804.72
144,404.74,0.0,0.0,261.28,0.0,938.15,660.03
145,377.3,0.0,0.0,262.24,0.0,1020.8,684.87
146,250.99,166.01,0.0,267.32,0.0,1065.23,719.42
147,197.52,103.21,0.0,107.23,7.39,1224.13,856.78
148,201.19,168.92,0.0,165.03,0.0,992.57,805.83
149,313.06,0.0,0.0,127.43,0.0,997.9,966.45
150,228.74,200.29,0.0,141.15,5.51,852.66,794.77
151,228.86,206.55,0.0,275.88,0.0,1021.66,751.2
152,249.88,0.0,70.55,130.56,0.0,970.23,896.51
153,405.78,0.0,0.0,177.56,0.0,987.82,850.73
154,269.73,169.6,0.0,246.96,0.0,898.48,707.62
155,346.66,0.0,0.0,155.59,0.0,1058.96,926.51
156,442.03,0.0,0.0,138.65,9.64,852.39,814.62
157,328.5,0.0,100.22,290.24,0.0,851.01,791.39
158,361.2,0.0,0.0,235.14,0.0,970.22,734.56
159,338.48,0.0,103.59,163.24,6.76,938.97,800.51
160,243.92,192.7,0.0,250.39,0.0,924.19,835.54
161,220.63,113.68,0.0,177.59,0.0,990.34,705.88
162,437.29,0.0,0.0,281.03,0.0,977.38,662.59
163,215.45,141.63,0.0,200.52,0.0,932.35,835.78
164,221.45,180.95,0.0,220.81,0.0,977.12,786.17
165,362.4,0.0,0.0,220.22,0.0,1049.83,829.63
166,425.16,0.0,0.0,293.15,0.0,938.75,808.65
167,327.23,0.0,0.0,123.76,8.8,1042.84,943.63
168,430.85,0.0,0.0,197.78,0.0,941.82,847.0
169,447.16,0.0,0.0,177.17,8.15,876.98,850.85
170,243.25,140.58,0.0,251.26,0.0,912.05,890.75
171,236.07,134.77,0.0,226.98,0.0,990.23,779.14
172,411.85,0.0,0.0,202.18,0.0,931.26,926.56
173,262.48,174.21,0.0,221.25,0.0,916.41,632.37
174,227.97,190.45,0.0,127.51,7.75,1029.02,902.21
175,277.35,0.0,112.87,242.83,0.0,898.37,702.11
176,423.53,0.0,0.0,164.05,8.91,958.01,657.55
177,271.36,148.36,0.0,195.91,0.0,1002.68,688.46
178,247.94,159.64,0.0,181.26,0.0,979.45,915.5
179,374.78,0.0,0.0,243.33,0.0,972.65,662.69
180,335.2,0.0,87.18,236.87,0.0,860.94,839.99
181,376.49,0.0,0.0,256.79,0.0,1017.75,820.9
182,417.44,0.0,0.0,252.86,0.0,1004.76,735.77
183,357.54,0.0,0.0,134.42,7.96,916.16,803.83
184,357.71,0.0,0.0,174.26,0.0,1072.95,747.18
185,258.23,175.5,0.0,187.82,0.0,1055.0,778.39
186,365.43,0.0,0.0,227.37,0.0,972.21,702.61
187,408.97,0.0,0.0,201.66,0.0,932.89,881.8
188,224.73,167.74,0.0,209.65,0.0,1070.04,760.32
189,287.92,0.0,96.2,238.41,0.0,899.29,845.36
190,280.03,128.63,0.0,150.22,8.46,937.77,781.3
191,240.78,145.15,0.0,178.1,0.0,1067.38,851.36
192,394.63,0.0,0.0,155.2,7.57,1000.37,745.7
193,315.23,0.0,86.44,254.72,0.0,925.29,639.66
194,281.87,0.0,119.31,164.61,0.0,993.81,760.43
195,269.18,153.72,0.0,256.79,0.0,1029.29,690.68
196,351.42,0.0,0.0,174.92,0.0,1144.48,779.14
197,278.97,0.0,101.13,228.37,0.0,837.78,810.83
198,438.48,0.0,0.0,154.97,9.38,970.64,669.37
199,284.29,0.0,104.52,176.3,0.0,1093.78,791.52
200,404.19,0.0,0.0,226.11,0.0,941.1,704.46
201,448.81,0.0,0.0,233.51,0.0,999.87,785.99
202,251.41,0.0,64.7,185.06,0.0,1012.77,746.18
203,430.28,0.0,0.0,227.23,0.0,900.95,662.78
204,233.27,204.62,0.0,181.71,0.0,1007.23,808.77
205,254.27,0.0,102.16,185.33,0.0,1019.55,894.35
206,312.22,0.0,0.0,209.33,0.0,1089.21,831.7
207,299.98,0.0,80.95,263.77,0.0,909.81,712.42
208,346.54,0.0,100.63,174.05,8.36,943.94,680.48
209,396.71,0.0,0.0,146.57,9.09,961.71,943.05
210,323.4,0.0,0.0,191.87,0.0,974.82,881.77
211,406.11,0.0,0.0,231.52,0.0,978.65,767.99
212,436.82,0.0,0.0,145.3,5.45,1036.92,758.28
213,186.7,118.1,0.0,160.68,0.0,1089.72,841.99
214,238.13,183.1,0.0,207.37,0.0,863.05,718.78
215,242.87,173.82,0.0,269.3,0.0,1000.19,669.86
216,391.87,0.0,0.0,251.81,0.0,961.98,732.53
217,309.58,0.0,0.0,185.39,0.0,954.69,878.5
218,427.1,0.0,0.0,209.83,0.0,1029.39,781.77
219,369.15,0.0,0.0,248.86,0.0,929.98,910.93
220,353.88,0.0,0.0,194.3,0.0,869.8,796.18
221,320.94,0.0,127.74,162.4,9.48,991.04,825.28
222,418.59,0.0,0.0,268.76,0.0,825.38,731.24
223,284.54,0.0,101.2,225.86,0.0,966.64,652.88
224,289.11,0.0,104.66,125.08,9.96,959.25,801.15
225,383.54,0.0,0.0,267.92,0.0,885.58,831.22
226,413.27,0.0,0.0,210.01,0.0,827.84,810.82
227,283.15,0.0,97.83,249.42,0.0,881.61,795.83
228,361.43,0.0,0.0,218.41,0.0,991.34,689.01
229,272.47,133.57,0.0,266.8,0.0,807.94,734.55
230,426.05,0.0,0.0,220.47,0.0,999.42,679.66
231,325.37,0.0,0.0,153.96,0.0,1157.04,802.11
232,322.14,0.0,108.17,178.49,0.0,911.15,692.39
233,233.36,128.42,0.0,112.66,6.0,1195.36,823.46
234,434.66,0.0,0.0,204.05,0.0,1040.36,694.69
235,398.93,0.0,0.0,278.54,0.0,866.62,773.96
236,292.44,143.07,0.0,172.75,6.16,1070.24,720.1
237,365.08,0.0,0.0,183.51,0.0,1095.23,789.92
238,265.27,155.19,0.0,267.16,0.0,890.48,862.73
239,314.6,0.0,110.87,256.72,0.0,896.25,674.44
240,435.05,0.0,0.0,138.16,5.26,1138.92,782.99
241,271.69,0.0,109.23,145.01,8.35,995.81,826.04
242,399.77,0.0,0.0,218.24,0.0,1031.77,730.91
243,302.46,0.0,0.0,188.41,0.0,1044.78,768.56
244,195.35,186.31,0.0,159.58,0.0,1086.84,744.63
245,308.64,0.0,98.18,255.1,0.0,812.62,784.85
246,306.83,0.0,111.58,262.04,0.0,956.03,708.52
247,423.89,0.0,0.0,294.84,0.0,892.47,872.8
248,386.24,0.0,0.0,229.76,0.0,997.5,705.22
249,306.52,0.0,80.21,246.33,0.0,836.66,787.61
250,364.81,0.0,0.0,251.35,0.0,1076.04,793.22
251,260.49,0.0,94.47,197.39,0.0,922.49,753.02
