Location,Co,Gr,Sa,Si,Cl,dmax,CU,CC,d10,d50,RHS,RHPRUSP,WPRUSP,wL,wP,wS,IP,w,IC,IA,k10,c,phi,cr,phir,Latitude,Longitude
,0,2.5,49,43,5.5,100,19.1,1.7,0.005,0.068,,,,29.2,12.9,8.8,16.3,0,,,,,,,,,
,0,10.9,33.6,35,20.5,100,,,,0.042,,,,41.8,17.2,11.1,24.6,0,,,,,,,,,
,0,40.9,23,26.5,9.6,100,1071.8,0.3,0.002,0.448,,,,37.1,17.4,12.4,19.7,0,,,,,,,,,
,0,1.6,15.5,55.5,27.4,100,,,,0.009,,,,46.5,17.7,10.5,28.8,0,,,,,,,,,
,0,0.4,16.6,65.5,17.4,100,,,,0.018,,,,40,18.5,13.1,21.6,0,,,,,,,,,
,0,48.8,15.3,27.1,8.9,100,2470.8,0.1,0.003,1.57,,,,39.3,18.9,13.8,20.4,0,,,,,,,,,
,0,0.4,17,70.1,12.6,100,18.8,1.9,0.002,0.023,,,,31.5,15.1,11,16.4,0,,,,,,,,,
,0,0.3,8.7,69.9,21.1,10,,,,0.09,,,,50.7,20.2,12.6,30.5,0,,,,,,,,,
,0,13.3,47,32.9,6.9,31.5,18.9,3.3,0.004,0.074,,,,,,,,,,,,26.1,19.1,23.3,19.8,,
Bärnkopf,,,,,,,,,,,,,,,,,,,,,,,,,,48.3901588,15.0068594
Bärnkopf,0,41.6,35.8,19,3.6,25,289,1.6,,1.216,,1.887,13.4,,,,,,,,1.90E-09,,,,,48.3901588,15.0068594
Bärnkopf,0,44.6,32.6,20.1,2.8,25,312,1.1,,1.472,,1.608,20.2,,,,,,,,1.90E-08,,,,,48.3901588,15.0068594
Bärnkopf,0,15.9,46.2,29.4,8.6,25,137,0.7,,0.178,,1.846,15.6,,,,,,,,3.50E-10,,,,,48.3901588,15.0068594
Bärnkopf,0,50.3,38.1,10.6,1,45,79,1.1,,2.04,2.616,1.835,14.5,,,,,,,,,5,32.5,,,48.3901588,15.0068594
Laxenburg,1,81.6,14.2,2.6,0.5,67,14.3,1.3,1,9.437,2.65,2.212816,6.983354,,,,,,,,,,,,,48.0686831,16.3561206
Laxenburg,1.9,59.2,21.3,12.8,4.8,67,1193.5,4.7,,5.086,2.65,2.212816,6.983354,,,,,,,,,,,,,48.0686831,16.3561206
Laxenburg,0,35,44,18,3,45,51.05,1.62,,0.29,2.695555,2.059328,10.34729,,,,,,,,,,,,,48.0686831,16.3561206
Laxenburg,0,39,32,26,4,45,181,0.38,,0.32,2.696345,2.016444,9.856027,,,,,,,,,,,,,48.0686831,16.3561206
